Model,Sales_in_thousands,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity
Alero,80.255,18.27,2.4,150,107,70.1,186.7,2.958,15
Aurora,14.69,36.229,4,250,113.8,74.4,205.4,3.967,18.5
Bravada,20.017,31.598,4.3,190,107,67.8,181.2,4.068,17.5
Silhouette,24.361,25.345,3.4,185,120,72.2,201.4,3.948,25
Neon,32.734,12.64,2,132,105,74.4,174.4,2.559,12.5
Breeze,5.24,16.08,2,132,108,71,186.3,2.942,16
Voyager,24.155,18.85,2.4,150,113.3,76.8,186.3,3.528,20
Prowler,1.872,43,3.5,253,113.3,76.3,165.4,2.85,12
Sunfire,51.645,21.61,2.4,150,104.1,68.4,181.9,2.906,15
Grand Am,131.097,19.72,3.4,175,107,70.4,186.3,3.091,15.2
Firebird,19.911,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8
Grand Prix,92.364,21.665,3.8,195,110.5,72.7,196.5,3.396,18
Bonneville,35.945,23.755,3.8,205,112.2,72.6,202.5,3.59,17.5
Montana,39.572,25.635,3.4,185,120,72.7,201.3,3.942,25
Boxter,8.982,41.43,2.7,217,95.2,70.1,171,2.778,17
Carrera Coupe,1.28,71.02,3.4,300,92.6,69.5,174.5,3.032,17
Carrera Cabrio,1.866,74.97,3.4,300,92.6,69.5,174.5,3.075,17
5-Sep,9.191,33.12,2.3,170,106.4,70.6,189.2,3.28,18.5
3-Sep,12.115,26.1,2,185,102.6,67.4,182.2,2.99,16.9
SL,80.62,10.685,1.9,100,102.4,66.4,176.9,2.332,12.1
SC,24.546,12.535,1.9,100,102.4,66.4,180,2.367,12.1
SW,5.223,14.29,1.9,124,102.4,66.4,176.9,2.452,12.1
LW,8.472,18.835,2.2,137,106.5,69,190.4,3.075,13.1
LS,49.989,15.01,2.2,137,106.5,69,190.4,2.91,13.1
Outback,47.107,22.695,2.5,165,103.5,67.5,185.8,3.415,16.9
Forester,33.028,20.095,2.5,165,99.4,68.3,175.2,3.125,15.9
Corolla,142.535,13.108,1.8,120,97,66.7,174,2.42,13.2
Camry,247.994,17.518,2.2,133,105.2,70.1,188.5,2.998,18.5
Avalon,63.849,25.545,3,210,107.1,71.7,191.9,3.417,18.5
Celica,33.269,16.875,1.8,140,102.4,68.3,170.5,2.425,14.5
Tacoma,84.087,11.528,2.4,142,103.3,66.5,178.7,2.58,15.1
Sienna,65.119,22.368,3,194,114.2,73.4,193.5,3.759,20.9
RAV4,25.106,16.888,2,127,94.9,66.7,163.8,2.668,15.3
4Runner,68.411,22.288,2.7,150,105.3,66.5,183.3,3.44,18.5
Land Cruiser,9.835,51.728,4.7,230,112.2,76.4,192.5,5.115,25.4
Golf,9.761,14.9,2,115,98.9,68.3,163.3,2.767,14.5
Jetta,83.721,16.7,2,115,98.9,68.3,172.3,2.853,14.5
Passat,51.102,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4
Cabrio,9.569,19.99,2,115,97.4,66.7,160.4,3.079,13.7
GTI,5.596,17.5,2,115,98.9,68.3,163.3,2.762,14.6
Beetle,49.463,15.9,2,115,98.9,67.9,161.1,2.769,14.5
S40,16.957,23.4,1.9,160,100.5,67.6,176.6,2.998,15.8
V40,3.545,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8
S70,15.245,27.5,2.4,168,104.9,69.3,185.9,3.208,17.9
V70,17.531,28.8,2.4,168,104.9,69.3,186.2,3.259,17.9
C70,3.493,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5
S80,18.969,36,2.9,201,109.9,72.1,189.8,3.6,21.1
